Old,New
"Bahamas, The",Bahamas
Brunei Darussalam,Brunei
Bolivia (Plurinational State of),Bolivia
"Congo, Rep.",Congo
"Congo, Dem. Rep.",Congo (Democratic Republic of the)
Czech Republic,Czechia
"Egypt, Arab Rep.",Egypt
Eswatini (Kingdom of),Eswatini
"Gambia, The",Gambia
"Hong Kong SAR, China",Hong Kong
Hong Kong; China (SAR),Hong Kong
"Iran, Islamic Rep.",Iran
Iran (Islamic Republic of),Iran
Kyrgyz Republic,Kyrgyzstan
Lao PDR,Laos
Lao People's Democratic Republic,Laos
Moldova (Republic of),Moldova
Palestine; State of,Palestine
West Bank and Gaza,Palestine
Russian Federation,Russia
St. Lucia,Saint Lucia
St. Vincent and the Grenadines,Saint Vincent and the Grenadines
Slowak Republic,Slowakia
"Korea, Rep.",South Korea
Korea (Republic of),South Korea
Syrian Arab Republic,Syria
Tanzania (United Republic of),Tanzania
"Venezuela, RB",Venezuela
Venezuela (Bolivarian Republic of),Venezuela
Viet Nam,Vietnam
"Yemen, Rep",Yemen
